ts,lon,lat,speed,accel_z
2022-12-14 15:58:09.920000,10.015936838462949,53.57169267721474,8.36,718
2022-12-14 15:58:09.960000,10.015936838462949,53.57169267721474,8.36,-695
2022-12-14 15:58:10,10.015997355803847,53.5716169886291,8.332,153
2022-12-14 15:58:10.040000,10.015997355803847,53.5716169886291,8.332,-498
2022-12-14 15:58:10.080000,10.015997355803847,53.5716169886291,8.332,-228
2022-12-14 15:58:10.120000,10.015997355803847,53.5716169886291,8.332,472
2022-12-14 15:58:10.160000,10.015997355803847,53.5716169886291,8.332,239
2022-12-14 15:58:10.200000,10.015997355803847,53.5716169886291,8.332,141
2022-12-14 15:58:10.240000,10.015997355803847,53.5716169886291,8.332,-117
2022-12-14 15:58:10.280000,10.015997355803847,53.5716169886291,8.332,-928
2022-12-14 15:58:10.320000,10.015997355803847,53.5716169886291,8.332,730
2022-12-14 15:58:10.360000,10.015997355803847,53.5716169886291,8.332,300
2022-12-14 15:58:10.400000,10.015997355803847,53.5716169886291,8.332,-117
2022-12-14 15:58:10.440000,10.015997355803847,53.5716169886291,8.332,1073
2022-12-14 15:58:10.480000,10.015997355803847,53.5716169886291,8.332,18
2022-12-14 15:58:10.520000,10.015997355803847,53.5716169886291,8.332,-7
2022-12-14 15:58:10.560000,10.015997355803847,53.5716169886291,8.332,42
2022-12-14 15:58:10.600000,10.015997355803847,53.5716169886291,8.332,141
2022-12-14 15:58:10.640000,10.015997355803847,53.5716169886291,8.332,325
2022-12-14 15:58:10.680000,10.015997355803847,53.5716169886291,8.332,-449
2022-12-14 15:58:10.720000,10.015997355803847,53.5716169886291,8.332,276
2022-12-14 15:58:10.760000,10.015997355803847,53.5716169886291,8.332,264
2022-12-14 15:58:10.800000,10.015997355803847,53.5716169886291,8.332,5
2022-12-14 15:58:10.840000,10.015997355803847,53.5716169886291,8.332,-56
2022-12-14 15:58:10.880000,10.015997355803847,53.5716169886291,8.332,18
2022-12-14 15:58:10.920000,10.015997355803847,53.5716169886291,8.332,116
2022-12-14 15:58:10.960000,10.015997355803847,53.5716169886291,8.332,104
2022-12-14 15:58:11,10.016048653051257,53.571553286165,8.09,-437
2022-12-14 15:58:11.040000,10.016048653051257,53.571553286165,8.09,-191
2022-12-14 15:58:11.080000,10.016048653051257,53.571553286165,8.09,128
2022-12-14 15:58:11.120000,10.016048653051257,53.571553286165,8.09,-265
2022-12-14 15:58:11.160000,10.016048653051257,53.571553286165,8.09,399
2022-12-14 15:58:11.200000,10.016048653051257,53.571553286165,8.09,-191
2022-12-14 15:58:11.240000,10.016048653051257,53.571553286165,8.09,423
2022-12-14 15:58:11.280000,10.016048653051257,53.571553286165,8.09,263
2022-12-14 15:58:11.320000,10.016048653051257,53.571553286165,8.09,399
2022-12-14 15:58:11.360000,10.016048653051257,53.571553286165,8.09,-19
2022-12-14 15:58:11.400000,10.016048653051257,53.571553286165,8.09,165
2022-12-14 15:58:11.440000,10.016048653051257,53.571553286165,8.09,313
2022-12-14 15:58:11.480000,10.016048653051257,53.571553286165,8.09,-203
2022-12-14 15:58:11.520000,10.016048653051257,53.571553286165,8.09,338
2022-12-14 15:58:11.560000,10.016048653051257,53.571553286165,8.09,-19
2022-12-14 15:58:11.600000,10.016048653051257,53.571553286165,8.09,79
2022-12-14 15:58:11.640000,10.016048653051257,53.571553286165,8.09,165
2022-12-14 15:58:11.680000,10.016048653051257,53.571553286165,8.09,215
2022-12-14 15:58:11.720000,10.016048653051257,53.571553286165,8.09,-191
2022-12-14 15:58:11.760000,10.016048653051257,53.571553286165,8.09,67
2022-12-14 15:58:11.800000,10.016048653051257,53.571553286165,8.09,165
2022-12-14 15:58:11.840000,10.016048653051257,53.571553286165,8.09,42
2022-12-14 15:58:11.880000,10.016048653051257,53.571553286165,8.09,-289
2022-12-14 15:58:11.920000,10.016048653051257,53.571553286165,8.09,67
2022-12-14 15:58:11.960000,10.016048653051257,53.571553286165,8.09,177
2022-12-14 15:58:12,10.016096597537398,53.57149126008153,8.071,30
2022-12-14 15:58:12.040000,10.016096597537398,53.57149126008153,8.071,-80
2022-12-14 15:58:12.080000,10.016096597537398,53.57149126008153,8.071,128
2022-12-14 15:58:12.120000,10.016096597537398,53.57149126008153,8.071,153
